,Anzahl,Firma,Jahr,Lehrstelle,Ort
173,1,Affentranger + Jost AG,2019,Fachmann/-frau Kundendialog EFZ,Buttisholz (LU)
174,1,Auto Hebler AG,2019,Fachmann/-frau Leder und Textil EFZ,Buttisholz (LU)
175,1,Garage Bottoni,2019,Fachmann/-frau Leder und Textil (Fahrzeuge und Technik) EFZ,Campocologno (GR)
176,1,Carli Nicca,2019,Fachmann/-frau Leder und Textil (Feinlederwaren) EFZ,Cazis (GR)
177,1,AMAG Zug,2019,Fachmann/-frau Leder und Textil (Pferdesport) EFZ,Cham (ZG)
178,1,Fellay Pierre-André,2019,Fachmann/-frau öffentlicher Verkehr EFZ,Champlan (Grimisuat) (VS (fr))
179,1,Garage-Carrosserie des Narcisses Savoy SA,2019,Fachmann/-frau öffentlicher Verkehr (Planung) EFZ,Châtel-St-Denis (FR)
180,1,Garage Autos Carrefour Dorigny SA,2018,Fachmann/-frau öffentlicher Verkehr (Zugbegleitung) EFZ,Chavannes-près-Renens (VD)
181,1,Autohaus Willi AG,2019,Fachmann/-frau Textilpflege EFZ,Chur (GR)
182,1,Auto-Service Chur,2019,Fachmann/-frau Textilpflege (Textilreinigung) EFZ,Chur (GR)
183,1,Emil Frey AG,2019,Fachmann/-frau Textilpflege (Wäscherei) EFZ,Chur (GR)
184,1,Garage Bayer AG,2019,Fahrradmechaniker/in EFZ,Chur (GR)
185,1,Logistikbasis der Armee,2019,Fahrzeugschlosser/in EFZ,Chur (GR)
186,1,Thomann Nutzfahrzeuge AG,2019,Fassadenbauer/in EFZ,Chur (GR)
187,1,Garage Schmitt SA,2018,Fassadenbaupraktiker/in EBA,Clarens (VD)
188,1,Garage Bran Sàrl,2018,Feinwerkoptiker/in EFZ,Crassier (VD)
189,1,AMAG Automobiles et Moteurs SA,2018,Fleischfachassistent/in EBA,Crissier (VD)
190,1,Emil Frey SA,2018,Fleischfachassistent/in (Produktion und Verarbeitung) EBA,Crissier (VD)
191,1,Garage Kerlein,2019,Fleischfachassistent/in (Vorbereitung und Verkauf) EBA,Dagmersellen (LU)
192,1,AMAG Automobil- und Motoren AG,2019,Fleischfachmann/-frau EFZ,Davos Platz (GR)
193,1,Talgarage Davos AG,2019,Fleischfachmann/-frau (Feinkost und Veredelung) EFZ,Davos Platz (GR)
194,1,Garage Rais S.A.,2018,Fleischfachmann/-frau (Gewinnung) EFZ,Delsberg (JU)
195,1,S. Concept Sàrl,2018,Fleischfachmann/-frau (Verarbeitung) EFZ,Delsberg (JU)
196,1,Garage Kofmehl AG,2019,Flexodrucker/in EFZ,Derendingen (SO)
197,1,Garage Tullio Sartori,2019,Florist/in EBA,Derendingen (SO)
198,1,Garage Wyss AG,2019,Florist/in EFZ,Derendingen (SO)
199,1,Auto-Technik Kuster AG,2019,Formenbauer/in EFZ,Diepoldsau (SG)
